Date,Open,High,Low,Close,Adj Close,Volume
1997-10-16,5.8125,5.8125,5.5625,5.6875,3.51643443107605,7436400
1997-10-17,5.65625,5.75,5.40625,5.59375,3.458470582962036,3390400
1997-10-20,5.5,5.625,5.46875,5.53125,3.4198293685913086,3068000
1997-10-21,5.5625,5.6875,5.5,5.59375,3.458470582962036,2382400
1997-10-22,5.6875,5.75,5.59375,5.71875,3.535755157470703,1525200
1997-10-23,5.6875,5.6875,5.53125,5.59375,3.458470582962036,1622400
1997-10-24,5.65625,5.71875,5.5625,5.71875,3.535755157470703,813600
1997-10-27,5.65625,5.75,5.375,5.421875,3.3522043228149414,1507200
1997-10-28,5.25,5.6875,4.9375,5.59375,3.458470582962036,2955600
1997-10-29,5.6875,5.71875,5.59375,5.65625,3.4971137046813965,1859200
1997-10-30,5.53125,5.5625,5.375,5.5,3.4005064964294434,856000
1997-10-31,5.4375,5.640625,5.4375,5.5,3.4005064964294434,561600
1997-11-03,5.625,5.84375,5.53125,5.734375,3.5454156398773193,1004000
1997-11-04,5.75,5.875,5.6875,5.78125,3.574396848678589,364000
1997-11-05,5.8125,6.0625,5.78125,5.90625,3.651679754257202,324400
1997-11-06,5.875,6.25,5.875,6.25,3.864211320877075,361600
1997-11-07,6.1875,6.625,6.03125,6.4375,3.9801383018493652,662400
1997-11-10,6.3125,6.5,6.15625,6.15625,3.806248664855957,266800
1997-11-11,5.9375,6.0,5.75,6.0,3.7096445560455322,618000
1997-11-12,6.0,6.0,5.5625,5.6875,3.51643443107605,314800
1997-11-13,5.5625,5.625,5.46875,5.5,3.4005064964294434,500000
1997-11-14,5.4375,5.5,5.3125,5.4375,3.3618650436401367,438000
1997-11-17,5.5,5.84375,5.5,5.8125,3.593719244003296,284000
1997-11-18,5.875,5.875,5.6875,5.71875,3.535755157470703,1429600
1997-11-19,5.71875,5.8125,5.5625,5.5625,3.4391496181488037,148400
1997-11-20,5.625,5.625,5.3125,5.5625,3.4391496181488037,1268000
1997-11-21,5.5625,5.625,5.5,5.53125,3.4198293685913086,640800
1997-11-24,5.5,5.59375,5.5,5.53125,3.4198293685913086,64400
1997-11-25,5.5625,5.625,5.5,5.515625,3.410168170928955,326800
1997-11-26,5.5,5.53125,5.234375,5.253905773162842,3.2483532428741455,463200
1997-11-28,5.28125,5.3125,5.25,5.25,3.245939016342163,212800
1997-12-01,5.25,5.375,5.25,5.265625,3.255598545074463,475200
1997-12-02,5.375,5.5,5.28125,5.34375,3.3039002418518066,1280800
1997-12-03,5.4375,5.5,5.34375,5.5,3.4005064964294434,934400
1997-12-04,5.5,5.625,5.40625,5.546875,3.42948842048645,681600
1997-12-05,5.5,5.75,5.4375,5.6875,3.51643443107605,282800
1997-12-08,5.6875,5.75,5.65625,5.71875,3.535755157470703,227600
1997-12-09,5.75,5.8125,5.59375,5.59375,3.458470582962036,124000
1997-12-10,5.625,5.625,5.3125,5.375,3.332158088684082,269600
1997-12-11,5.25,5.375,5.15625,5.3125,3.2934117317199707,400800
1997-12-12,5.375,5.375,5.15625,5.15625,3.1965465545654297,412400
1997-12-15,5.25,5.375,5.171875,5.21875,3.235292434692383,289200
1997-12-16,5.125,5.3125,5.125,5.21875,3.235292434692383,190800
1997-12-17,5.15625,5.1875,5.03125,5.03125,3.119054079055786,584800
1997-12-18,5.09375,5.09375,4.96875,5.0,3.099681854248047,272400
1997-12-19,5.03125,5.03125,4.9375,4.9375,3.0609352588653564,921600
1997-12-22,4.9375,5.3125,4.9375,5.0625,3.1384270191192627,924000
1997-12-23,5.1875,5.1875,4.9375,5.0,3.099681854248047,2331200
1997-12-24,5.03125,5.03125,4.9375,4.9375,3.0609352588653564,50400
1997-12-26,5.0,5.0625,4.96875,5.0625,3.1384270191192627,1248400
1997-12-29,5.0625,5.28125,5.0,5.28125,3.2740397453308105,430800
1997-12-30,5.0625,5.34375,5.0625,5.28125,3.2740397453308105,662800
1997-12-31,5.40625,5.6875,5.25,5.59375,3.467768907546997,911600
1998-01-02,5.53125,5.78125,5.53125,5.78125,3.5840070247650146,112400
1998-01-05,6.03125,6.09375,5.625,5.625,3.4871413707733154,629600
1998-01-06,5.59375,5.59375,5.25,5.421875,3.3612191677093506,915200
1998-01-07,5.421875,5.75,5.421875,5.5625,3.4483962059020996,164800
1998-01-08,5.5,5.78125,5.5,5.75,3.5646352767944336,236000
1998-01-09,5.65625,5.75,5.5,5.5,3.409651041030884,140400
1998-01-12,5.375,5.53125,5.34375,5.34375,3.312784194946289,927200
1998-01-13,5.5,5.5,5.3125,5.4375,3.3709044456481934,100400
1998-01-14,5.4375,5.5625,5.34375,5.359375,3.3224737644195557,585600
1998-01-15,5.4375,5.4375,5.34375,5.375,3.332158088684082,417200
1998-01-16,5.4375,5.59375,5.34375,5.5625,3.4483962059020996,69200
1998-01-20,5.5,5.78125,5.5,5.78125,3.5840070247650146,348800
1998-01-21,5.75,5.78125,5.71875,5.75,3.5646352767944336,141600
1998-01-22,5.71875,5.75,5.65625,5.65625,3.5065150260925293,92400
1998-01-23,5.65625,5.875,5.65625,5.8125,3.6033806800842285,211200
1998-01-26,5.875,5.875,5.625,5.71875,3.5452613830566406,497200
1998-01-27,5.75,5.75,5.625,5.625,3.4871413707733154,96400
1998-01-28,5.625,5.6875,5.625,5.65625,3.5065150260925293,154800
1998-01-29,5.65625,5.8125,5.65625,5.71875,3.5452613830566406,108400
1998-01-30,5.796875,5.796875,5.65625,5.71875,3.5452613830566406,130400
1998-02-02,5.78125,6.15625,5.78125,6.0,3.7196195125579834,580800
1998-02-03,5.9375,6.125,5.9375,6.0,3.7196195125579834,159200
1998-02-04,6.0,6.09375,5.90625,5.90625,3.6615004539489746,557600
1998-02-05,5.875,5.96875,5.875,5.875,3.6421267986297607,73200
1998-02-06,5.96875,6.09375,5.875,5.9375,3.6808736324310303,246800
1998-02-09,5.90625,6.1875,5.90625,6.0625,3.7583656311035156,724800
1998-02-10,6.0625,6.3125,6.0625,6.25,3.874603509902954,401600
1998-02-11,6.15625,6.25,5.53125,5.75,3.5646352767944336,2063200
1998-02-12,5.8125,5.90625,5.75,5.90625,3.6615004539489746,464400
1998-02-13,5.96875,5.96875,5.8125,5.9375,3.6808736324310303,163200
1998-02-17,6.03125,6.03125,5.875,5.90625,3.6615004539489746,697200
1998-02-18,6.0,6.0,5.90625,5.90625,3.6615004539489746,2071200
1998-02-19,6.0,6.0,5.84375,5.84375,3.622753620147705,184800
1998-02-20,5.84375,5.90625,5.78125,5.78125,3.5840070247650146,89200
1998-02-23,5.78125,5.84375,5.71875,5.71875,3.5452613830566406,621600
1998-02-24,5.71875,5.828125,5.5,5.5,3.409651041030884,417600
1998-02-25,5.5,5.625,5.46875,5.59375,3.467768907546997,201200
1998-02-26,5.5625,5.5625,5.46875,5.46875,3.390277862548828,149200
1998-02-27,5.53125,5.6875,5.46875,5.6875,3.5258893966674805,278000
1998-03-02,5.601562976837158,5.6875,5.40625,5.40625,3.351532220840454,360400
1998-03-03,5.5,5.5,5.34375,5.375,3.332158088684082,414000
1998-03-04,5.5,5.5,5.375,5.40625,3.351532220840454,489600
